Store ID,SKU,Product Name,Price,Date
ST001,SKU1001,Organic Bananas 1kg,1.99,2026-09-01
ST001,SKU1002,Whole Milk 1L,2.49,2026-09-01
ST001,SKU1003,Sourdough Bread,3.25,2026-09-01
ST002,SKU1001,Organic Bananas 1kg,2.09,2026-09-01
ST002,SKU1002,Whole Milk 1L,2.39,2026-09-01
ST003,SKU1001,Organic Bananas 1kg,1.89,2026-09-01
ST003,SKU1004,Free Range Eggs (12),4.75,2026-09-01
ST004,SKU1005,Extra Virgin Olive Oil 500ml,7.99,2026-09-01
ST004,SKU1001,Organic Bananas 1kg,1.95,2026-09-01
ST005,SKU1006,Basmati Rice 5kg,9.49,2026-09-01
